test,intent,question,answer,counter
,Alessandro_Volta,How old was Alessandro Volta when he died?, 82,1
,Alessandro_Volta,"How many years ago was it when Volta married the daughter of Count Ludovico Peregrini , Teresa , with whom he raised three sons?",215,2
,Alessandro_Volta,For how many years did Alessandro Volta live?,53,3
,Alessandro_Volta,His passion been always the study of what?,Electricity,4
,Alessandro_Volta,When did lombardy come under Napoleon`s rule?,From 1796 to 1815,5
,Alessandro_Volta,Is Volta buried in the city of Pittsburgh?,no,6
,Alessandro_Volta,Did Alessandro Volta live to be 80 years old?,no,7
,Alessandro_Volta,What was Alessandro Volta`s profession?,physisist,8
,Alessandro_Volta,Where did Volta enter retirement?,Spain,9
,Alessandro_Volta,What is the battery made by Volta credited to be?,the first cell,10
,Alessandro_Volta,Where did he publish his invention of the Voltaic pile battery?,the Philosophical Transactions of the Royal Society,11
,Alessandro_Volta,What important electrical unit was named in honor of Volta?,the volt,12
,Alessandro_Volta,What important electrical unit was named in honor of Volta?,volt,13
,Alessandro_Volta,Was Volta an Italian physicist?,yes,14
,Alessandro_Volta,Did Volta have a passion for the study of electricity?,yes,15
,Alessandro_Volta,Is it a disadvantage for something to be unsafe to handle?,yes,16
,Alessandro_Volta,Was Lombardy under Napoleon's rule in 1800?,yes,17
,Alessandro_Volta,Was the Italian 10.000 lira banknote created before the euro?,yes,18
,Alessandro_Volta,Is the electrolyte sulphuric acid?,Yes,19
,Alessandro_Volta,Is volta buried in the city  of Como?,Yes,20
,Alessandro_Volta,Was his 1800  paper written in French?,Yes,21
,Alessandro_Volta,"Before 1796, was Lombardy ruled by Austria?",yes,22
,Alessandro_Volta,Did he receive the Society`s 1794 Copley Medal?,Yes,23
,Alessandro_Volta,Did he experiment with individual cells?,Yes,24
,Alessandro_Volta,Did he become professor of experimental physics at the University of Pavia?,Yes,25
,Alessandro_Volta,Is it true that his passion been always the study of electricity?,Yes,26
,Alessandro_Volta,Is it true that Volta married the daughter of Count Ludovico Peregrini?,Yes,27
,Alessandro_Volta,Is it true that he published his invention of the Voltaic pile battery?,Yes,28
,Amedeo_Avogadro,In what year did Avogadro stop teaching at Turin University?,1823,29
,Amedeo_Avogadro,In what year did Avogadro stop teaching at Turin University?,1853,30
,Amedeo_Avogadro,How many years ago was it when he became a professor of physics at the University of Turin?,189,31
,Amedeo_Avogadro,What is Avogadro's number?,6.02214199x10 23,32
,Amedeo_Avogadro,What is Amedeo Avogadro?,A person.,33
,Amedeo_Avogadro,What is Amedeo Avogadro`s first name?,Amedeo,34
,Amedeo_Avogadro,What is Amedeo Avogadro`s last name?,Avogadro,35
,Amedeo_Avogadro,Loschmidt calculated first the value of what?,Avogadro's number,36
,Amedeo_Avogadro,What is Avogadro most noted for?,contributions to the theory of molarity and molecular weight,37
,Amedeo_Avogadro,What subject did Avogadro study first?,ecclesiastical law,38
,Amedeo_Avogadro,Where is Amedeo Avogadro from?,Italy.,39
,Amedeo_Avogadro,Did Avogadro live in England?,No,40
,Amedeo_Avogadro,Was Amedeo Avogadro born in North America?,no,41
,Amedeo_Avogadro,What was Amedeo Avogadro`s profession?,professor of physics,42
,Amedeo_Avogadro,How many children did Avogadro have?,six,43
,Amedeo_Avogadro,What was Amedeo Avogadro`s birthplace?,Turin,44
,Amedeo_Avogadro,Where was Avogadro a professor of physics?,University of Turin,45
,Amedeo_Avogadro,Was Amedeo Avogadro Italian?,Yes,46
,Amedeo_Avogadro,Did Amedeo Avogadro graduate?,Yes,47
,Amedeo_Avogadro,Was King Victor  Emmanuel  III there to pay  homage  to Avogadro?,Yes,48
,Amedeo_Avogadro,"In fact, was Avogadro `s  famous  1811  paper written in French . )",Yes,49
,Amedeo_Avogadro,Is avogadro `s  number commonly used to compute  the results  of chemical reactions?,Yes,50
,Amedeo_Avogadro,"Hence, can relative molecular  masses be calculated from the masses  of gas samples?",Yes,51
,Amedeo_Avogadro,Did he publish his work?,Yes,52
,Amedeo_Avogadro,Is it true that loschmidt calculated first the value of Avogadro number?,Yes,53
,Amedeo_Avogadro,"Hence , can relative molecular masses be calculated from the masses of gas samples ?",yes,54
,Amedeo_Avogadro,Did Avogadro submit his poem?,Yes.,55
,Amedeo_Avogadro,"Can the title of this famous 1811 paper be roughly translated into English as ""essay on determining the Relative Masses of the Elementary Molecules of Bodies"" ?",Yes.,56
,Anders_Celsius,Which temperature scale did Celsius propose?, the Celsius temperature scale ,57
,Anders_Celsius,When did Anders Celcius publish his observations on the aurora borealis?,1733,58
,Anders_Celsius,When did Anders Celcius publish his observations on the aurora borealis?,1733 ,59
,Anders_Celsius,How old was Celsius when he died?,42,60
,Anders_Celsius,How old was Anders Celsius when he died?,42,61
,Anders_Celsius,What is temperature would water have to be to be halfway between its standard boiling and freezing point?,50,62
,Anders_Celsius,What is the boiling point of water dependent on?,atmospheric pressure,63
,Anders_Celsius,Which temperature scale did Celsius propose?,Celcius,64
,Anders_Celsius,What is Anders Celsius`s last name?,Celsius,65
,Anders_Celsius,What did Anders Celsius determine about the boiling of water?,dependence with atmospheric pressure,66
,Anders_Celsius,What did Anders Celsius determine about the boiling of water?,He determined the dependence of the boiling of water with atmospheric pressure.,67
,Anders_Celsius,He published a collection of what?,observations,68
,Anders_Celsius,What was Anders Celsius`s profession?,professor of astronomy,69
,Anders_Celsius,What is the difference between Celsius' original temperature scale and the one we use today?,scale was reversed ,70
,Anders_Celsius,"Whad did Celsius report in his paper ""Observations of two persistent degrees on a thermometer""?",the freezing point is independent of latitude,71
,Anders_Celsius,What is the difference between Celsius' original temperature scale and the one we use today?,The scale was reversed by Carolus Linnaeus. ,72
,Anders_Celsius,Where was Celsius born?,Uppsala in Sweden,73
,Anders_Celsius,Where was Celsius born?,"Uppsala, Sweden",74
,Anders_Celsius,Was celsius born in Uppsala  in Sweden?,yes,75
,Anders_Celsius,Is The Celsius  crater  on the Moon named after him?,yes,76
,Anders_Celsius,"Was Anders Celsius  ( November 27 ,  1701  April 25 ,  1744  ) a Swedish  astronomer?",yes,77
,Anders_Celsius,Was Anders Celsius the first  to perform  and  publish  careful experiments  aiming at the definition  of an international  temperature  scale  on scientific grounds?,yes,78
,Anders_Celsius,Was he professor at Uppsala University?,yes,79
,Anders_Celsius,Is it true that he published a collection of 316 observations?,yes,80
,Arabic_language,Can syllables begin with a vowel?,no,81
,Arabic_language,The sociolinguistic situation of Arabic provides a prime example of what?,the linguistic phenomenon of diglossia,82
,Arabic_language,Are calligraphers held in great esteem?,Yes,83
,Arabic_language,Have many European languages borrowed numerous words from it?,yes,84
,Arabic_language,"Are pronouns in Literary Arabic marked for person , number and gender ?",yes,85
,Arabic_language,"However , are non-human plural nouns grammatically considered to be feminine singular ?",yes,86
,Bee,What do people commonly call cleptoparasitic bees?,cuckoo bees,87
,Bee,How did vespoid wasps evolve?,from predatory ancestors,88
,Bee,What do humans use bees for?,honey,89
,Bee,Where do bees live?,in colonies,90
,Bee,When do bumblebee colonies reach peak population?,mid to late summer,91
,Bee,Why do honey bee queens continue to lay eggs during the foraging season?,to replace daily casualties,92
,Bee,Is a bee an insect?,yes,93
,Bee,Are bees related to ants?,yes,94
,Bee,Have managed populations of European honey bees experienced substantial declines?,yes,95
,Beijing,"As of August 1st, 2006, how many trains stop daily at the Beijing Railway Station or the Beijing West Railway Station?",167,96
,Beijing,When did Yuan Shikai die?,1916,97
,Beijing,When did Beijing host the Olympic Games?,2008,98
,Beijing,"In 1949, where did Communist forces enter without a fight?",Beiping,99
,Beijing,When was the An Shi Rebellion launched?,in 755 AD,100
,Beijing,Where does air pollution in Beijing come from?,surrounding cities and provinces,101
,Beijing,What is the name of a university (or similar institution for imparting higher education) in Beijing?,Tsinghua University,102
,Beijing,"Does Beijing mean ""northern capital""?",yes,103
,Beijing,Are the caves of Dragon Bone Hill near the village of Zhoukoudian in Fangshan District?,yes,104
,Beijing,Are hutongs disappearing?,yes,105
,Beijing,Are famous middle  schools  in Beijing :?,Yes,106
,Blaise_Pascal,Of whose continual poor health was the cause never precisely determined?,Blaise Pascal,107
,Blaise_Pascal,Who was the eldest sibling?,Gilberte,108
,Blaise_Pascal,Could Blaise Pascal move without crutches?,He could move without crutches until a paralytic attack in 1647.,109
,Blaise_Pascal,From what did Pascal suffer throughout his life?,ill health,110
,Blaise_Pascal,Could Blaise Pascal move without crutches?,no,111
,Blaise_Pascal,From what did Pascal suffer throughout his life?,poor health,112
,Blaise_Pascal,What did Pascal argue was as perfect as possible?,the procedure used in geometry,113
,Blaise_Pascal,What did Pascal argue was as perfect as possible?,the procedure used in geometry ,114
,Blaise_Pascal,What is the best physician?,Time,115
,Blaise_Pascal,Was Blaise Pascal a mathematician of the first order?,yes,116
,Blaise_Pascal,Has the name Pascal been given to the SI unit of pressure?,yes,117
,Blaise_Pascal,"Aside from the Provincial Letters' religious influence, were they popular as a literary work?",yes,118
,Cello,When did the first educational works appear for the cello?,18th century,119
,Cello,What position is used to play the cello?,a gamba,120
,Cello,Which harmonics can produce any notes above middle C? ,Artificial harmonics,121
,Cello,Which harmonics can produce any notes above middle C? ,Artificial harmonics can produce any notes above middle C.,122
,Cello,What is a person who plays the cello called?,cellist,123
,Cello,What cello manufacturer should I buy from if I want to play outside?,Luis & Clark,124
,Cello,"Who referred to the cello as “basso de viola da braccio""?",Monteverdi,125
,Cello,"Who referred to the cello as “basso de viola da braccio""?","Monteverdi referred to the cello as ""basso de viola da braccio"".",126
,Cello,Is the purfling just for decoration?,No,127
,Cello,Are the z-holes used as access points to the interior of the cello? ,No,128
,Cello,Where is the violincello held?,on the shoulder,129
,Cello,What is used to tune a cello?,Pegs are used to tune a cello.,130
,Cello,What position is used to play the cello?,seated,131
,Cello,When did the first educational works appear for the cello?,the 18th century,132
,Cello,What is used to tune a cello?,the pegs,133
,Cello,Where is the violincello held?,The violincello is held on the shoulder.,134
,Cello,Why is there purling on a cello?,to stop cracks from forming ****misspelled****,135
,Cello,What are the two materials that bows are made of traditionally? ,"Traditionally, bows are made from pernambuco or brazilwood.",136
,Cello,What does violincello mean?,"Violincello means ""little violene"".",137
,Cello,What is cello an abbreviation of?,violoncello,138
,Cello,Is the violin cello a bowed string instrument?,Yes,139
,Cello,Is there cello in performances by Rihanna?,yes,140
,Cello,Are cellos constructed with glue?,yes,141
,Cello,Is the cello a stringed instrument?,yes,142
,Charles-Augustin_de_Coulomb,When did Charles-Augustin de Coulomb retire to a small estate he possessed at Blois?,1789,143
,Charles-Augustin_de_Coulomb,How old was Charles-Augustin de Coulomb when he died?,1806,144
,Charles-Augustin_de_Coulomb,How many years ago did Charles-Augustin de Coulomb die?,203,145
,Charles-Augustin_de_Coulomb,How many years ago did he resign his appointment as intendant de eaux et fontaine ?,220,146
,Charles-Augustin_de_Coulomb,"If Charles-Augustin de Coulomb was alive today, how old would he have been?",273,147
,Charles-Augustin_de_Coulomb,For how many years did Charles-Augustin de Coulomb live?,70,148
,Charles-Augustin_de_Coulomb,Where did Charles-Augustin de Coulomb die?,Charles-Augustin de Coulomb died in Paris.,149
,Charles-Augustin_de_Coulomb,When did Charles-Augustin de Coulomb retire to a small estate he possessed at Blois?,Charles-Augustin de Coulomb retired to a small estate he possessed at Blois on the outbreak of the revolution in 1789.,150
,Charles-Augustin_de_Coulomb,When was Charles-Augustin de Coulomb permanently stationed in Paris?,Charles-Augustin de Coulomb was permanently stationed in Paris in 1781.,151
,Charles-Augustin_de_Coulomb,What is the definition of the electrostatic force of attraction and repulsion? ,Coulomb's Law,152
,Charles-Augustin_de_Coulomb,What is the definition of the electrostatic force of attraction and repulsion? ,Coulomb's law is the definition of the electrostatic force of attraction and repulsion.,153
,Charles-Augustin_de_Coulomb,He discovered an inverse relationship of what?,distance and electric force,154
,Charles-Augustin_de_Coulomb,Where is Charles-Augustin de Coulomb from?,France,155
,Charles-Augustin_de_Coulomb,When was Charles-Augustin de Coulomb born?,"June 14, 1736",156
,Charles-Augustin_de_Coulomb,Where did the construction of Fort Bourbon take place?,Martinique ,157
,Charles-Augustin_de_Coulomb,Did Charles-Augustin de Coulomb find any relationship between electric charges and magnetic poles? ,No,158
,Charles-Augustin_de_Coulomb,Did Charles-Augustin de Coulomb live to be 80 years old?,no,159
,Charles-Augustin_de_Coulomb,Where did Charles-Augustin de Coulomb die?,"Paris, France",160
,Charles-Augustin_de_Coulomb,What contribution did Charles-Augustin de Coulomb make to the field of geotechnical engineering?,Retaining wall design,161
,Charles-Augustin_de_Coulomb,Where did the construction of Fort Bourbon take place?,The construction of Fort Bourbon took place in Martinique.,162
,Charles-Augustin_de_Coulomb,Was Charles-Augustin de Coulomb a member of the National Institute?,Yes,163
,Charles-Augustin_de_Coulomb,Was Charles-Augustin de Coulomb's father's family in Montpellier? ,Yes,164
,Charles-Augustin_de_Coulomb,When was Charles-Augustin de Coulomb permanently stationed in Paris?,Yes,165
,Charles-Augustin_de_Coulomb,"Was The SI  unit  of charge , the  coulomb , named after him?",yes,166
,Charles-Augustin_de_Coulomb,"Was coulomb born in AngoulÃªme,  France ,  to a well  to do  family?",yes,167
,Charles-Augustin_de_Coulomb,"Was his father ,  Henri  Coulomb , inspector of the Royal  Fields  in Montpellier?",Yes,168
,Charles-Augustin_de_Coulomb,Is coulomb distinguished in the history  of mechanics  and  of electricity and  magnetism?,yes,169
,Charles-Augustin_de_Coulomb,"Was Charles Augustin  de Coulomb  ( born  June  14 ,  1736 ,  AngoulÃªme ,  France  -  died August 23 ,  1806 ,  Paris ,  France  ) a French  physicist?",yes,170
,Charles-Augustin_de_Coulomb,Does Coulomb leave a legacy?,yes,171
,Charles-Augustin_de_Coulomb,Did he publish an important investigation of the laws of friction?,yes,172
,Charles-Augustin_de_Coulomb,"Was Coulomb born in AngoulÃªme, France, to a well to do family?",yes,173
,Charles-Augustin_de_Coulomb,Was his father inspector of the Royal Fields?,yes,174
,Charles-Augustin_de_Coulomb,Is it true that coulomb leaves a legacy as a hero?,yes,175
,Chinese_language,One-fifth of world population speak some form of what?,Chinese,176
,Chinese_language,Was Old Chinese wholly uninflected?,no,177
,Chinese_language,Is mandarin spoken Chinese distinguished by its high level?,"no, it's distinguished by diversity",178
,Chinese_language,Are The modern Chinese dialects more like a family?,yes,179
,Chinese_language,Is it true that one-fifth of world population speak some form of Chinese?,yes,180
,Copenhagen,What is the population of Copenhagen?,"1,153,615",181
,Copenhagen,What is the population of Copenhagen?,"1,161,063",182
,Copenhagen,What happened to Copenhagen between 1251 and 1255?,a bunch of things,183
,Copenhagen,Why did German troops occupy Copenhagen?,Because it was WW2,184
,Copenhagen,Copenhagen is the capital of what country?,Denmark,185
,Copenhagen,Why is Copenhagen a regional hub?,Its strategic location and excellent infrastructure,186
,Copenhagen,Why is Copenhagen a regional hub?,Its strategic location and excellent infrastructure with the largest airport in Scandinavia[6] located 14 minutes by train from the city centre,187
,Copenhagen,Copenhagen is ranked number one worldwide for which things?,"Most Livable City in the World, ",188
,Copenhagen,Copenhagen is ranked number one worldwide for which things?,"Most Livable City, Location Ranking Survey",189
,Copenhagen,Is Copenhagen completely surrounded with water? ,No,190
,Copenhagen,What transnational bridge was completed in 2000?,Oresund Bridge,191
,Cymbal,What are the most common Cymbals?," The most common Cymbals are the Hi-Hats, Crash, Splash, Ride, and China.",192
,Cymbal,What are orchestral crash cymbals technically called?,a pair of clash cymbals,193
,Cymbal,From what type of Cymbals can a expert player obtain an enormous dynamic range?,An expert player can obtain an enormous dynamic range from crash cymbals.,194
,Cymbal,What is the center of a cymbal called?,Bell,195
,Cymbal,What are orchestral crash cymbals technically called?,clash cymbals,196
,Cymbal,What have clash cymbals traditionally been accompanied by?,Clash cymbals have traditionally been accompanied by the bass drum playing an identical part.,197
,Cymbal,From what type of Cymbals can a expert player obtain an enormous dynamic range?,Crash cymbals,198
,Cymbal,"What part of the cymbal gets the best ""crash""?",Edge or rim,199
,Cymbal,What Greek mythical creatures were depicted holding cymbals?,fauns and satyrs,200
,Cymbal,What are the most common Cymbals?,"Hi-Hats, Crash, Splash, Ride, and China",201
,Cymbal,What happens when the center of a Cymbal is hit?,It causes a sound which is in a higher register than the rest of the cymbal,202
,Cymbal,What happens when the center of a Cymbal is hit?,It causes a sound which is in a higher register than the rest of the symbal.,203
,Cymbal,Is the word cymbal derived from a Germanic word?,No,204
,Cymbal,What is an effective way to accentuate a note?,Playing a bass drum playing an identical part is an effective way to accentuate a note.,205
,Cymbal,What have clash cymbals traditionally been accompanied by?,The bass drum playing an identical part,206
,Cymbal,What is an effective way to accentuate a note?,"The combination of a clash cymbol being accompanied by a bass drum playing an identical part, played loudly",207
,Cymbal,What two instruments form the modern drum kit?,the cymbals and the drum,208
,Cymbal,What is the second main orchestral use of cymbals?,The suspended cymbal,209
,Cymbal,What is the second main orchestral use of cymbals?,The suspended cymbal is the second main orchestral use of symbals.,210
,Cymbal,Have cymbals been used historically to suggest bacchanal?,Yes,211
,Cymbal,Can the origins of cymbals be traced to prehistoric times?,Yes,212
,Cymbal,Are cymbals used in moden orchestras?,Yes,213
,Cymbal,Can the origins of cymbals be traced back to prehistoric times?,yes,214
,Cymbal,Did the modern hi-hat evolve from clash cymbals?,yes,215
,Dhaka,How much area does Dhaka cover?,1462.60 square kilometers,216
,Dhaka,How many people did the 1970 Bhola cyclone kill?,"500,000",217
,Dhaka,When is the end of the independence war of Bangladesh?,"December 16, 1971",218
,Dhaka,Is University of Dhaka older than the Dhaka College?,No,219
,Dhaka,Is Dhaka the capital of Bangladesh?,Yes,220
,Dhaka,Is Dhaka located on the eastern banks of the Buriganga River?,Yes,221
,Dhaka,Is University of Dhaka the largest public university in Dhaka?,Yes,222
,Dhaka,Did the Mughals arrive in Dhaka?,Yes,223
,English_language,Is english a de  jure  official  language  of Israel?,no,224
,English_language,What is given for the number of native speakers?,No figure is given for the number of native speakers.,225
,English_language,Is it true that semantics causes a number of false friends?,true,226
,English_language,Is english an intonation  language?,Yes,227
,English_language,Is the stressed  syllable called the nuclear  syllable?,yes,228
,English_language,Does english grammar have minimal inflection?,Yes,229
,English_language,Did old English develop into Middle English?,Yes,230
,English_language,"Are books, magazines, and newspapers written in English available?",yes,231
,English_language,Is the syntax of German different with different rules?,yes,232
,English_language,"Here , are all syllables unstressed , except the syllables/words best and done , which are stressed ?",yes,233
,English_language,"Are many words describing the navy , types of ships , and other objects or activities on the water of dutch origin ?",yes,234
,English_language,"Are local variations in the formal written version of the language quite limited , being restricted largely to the spelling differences between British and American English ?",yes,235
,Flute,When did the tin whistle first appear?,12th century.,236
,Flute,When was a three-holed flute made from a mammoth tusk discovered?,2004.,237
,Flute,When was the pan flute spread to other parts of Europe?,7th century BC.,238
,Flute,What does the air stream across this hole create?,"A Bernoulli, or siphon.",239
,Flute,What do we refer musicians who play flute?,"A flute player, a flautist or a flutist. ",240
,Flute,What do we refer musicians who play flute?,"A flute player, a flautist, or a flutist",241
,Flute,What are the oldest known musical instruments?,A three holed-flute made from a mammoth tusk and two flutes made from swan's bones.,242
,Flute,What are the oldest known musical instruments?,A three-holed flute made from a mammoth tusk and two flutes made from swans' bones are among the oldest known musical instruments,243
,Flute,When was the pan flute spread to other parts of Europe?,After the 7th century BC,244
,Flute,When was a three-holed flute made from a mammoth tusk discovered?,In 2004,245
,Flute,When did the tin whistle first appear?,In the 12th century,246
,Flute,Is the flute a musical instrument?,Yes,247
,Flute,Is it possible to open flutes at one or both ends?,Yes,248
,Flute,Are Indian concert flutes available in standard pitches?,Yes,249
,Flute,Is the flute a musical instrument?,Yes.,250
,Flute,Is it possible to open flutes at one or both ends?,Yes.,251
,Flute,Are Indian concert flutes available in standard pitches?,Yes.,252
,Fox,How long do most foxes live?,2 to 3 years,253
,Fox,What is caching food?,burying it for later consumption,254
,Fox,What is caching food?,"Caching is burying it for later consumption, usually under leaves, snow, or soil.",255
,Fox,In what country did fox hunting originate?,in the United Kingdom,256
,Fox,How long do most foxes live?,"Most foxes live 2 to 3 years, but they can survive for up to 10 years or even longer in captivity.",257
,Fox,Are fennec foxes endangered?,no,258
,Fox,Do foxes damage fruit on farms?,No,259
,Fox,What is the smallest species of fox?,the Fennec Fox,260
,Fox,What is the smallest species of fox?,The Fennec Fox is the smallest species of fox. ,261
,Fox,In what country did fox hunting originate?,the United Kingdom,262
,Fox,What are female foxes called?,vixens,263
,Fox,Are foxes wary of humans?,Yes,264
,Fox,Does the diet of foxes include reptiles?,yes,265
,French_language,How many years ago did African people spread across 31 francophone African countries can speak French either as a first or second language?,2 years ago,266
,French_language,"What is widely used by the Lebanese, especially for administrative purposes?",French,267
,French_language,"In Old French, was the plural  for animal animals?",Yes,268
,French_language,Is catalan the only  official  language  of Andorra?,Yes,269
,French_language,"In Belgium, however, is quatre-vingts universally used?",Yes,270
,French_language,Is french taught in many schools as a primary language along with Arabic?,Yes,271
,French_language,Is french descendant of the Latin language?,Yes,272
,French_language,Are there also a variety of regional languages In addition?,Yes,273
,French_language,Is it true that france signed the European Charter for Regional Languages?,Yes,274
,French_language,Are the prefixes en- and em- always nasalized ?,Yes,275
,German_language,How many years ago was the Luther Bible by Martin Luther printed?,475,276
,German_language,"In Switzerland, is ÃŸ used at all?",no,277
,German_language,Are feminines declined in the singular?,no,278
,German_language,Is 9 %  of the Internet  population German?,no,279
,German_language,Does a  tz indicate that the preceding vowel is short?,no,280
,German_language,Is german an inflected  language?,yes,281
,German_language,Are there two common  word  orders?,yes,282
,German_language,Is german written using the Latin  alphabet?,Yes,283
,German_language,Was the Luther Bible by Martin Luther printed?,Yes,284
,German_language,"Are there 622,650 speakers of German In Canada?",Yes,285
,German_language,Are there also large populations of German ancestry In Mexico?,yes,286
,German_language,Would BundeslÃ¤nder not accept North Rhine Westphalia and Bavaria ?,yes,287
,German_language,"Have adverbs of time to appear in the third place in the sentence , just after the predicate ?",Yes,288
,Giraffe,What will a giraffe use to clean off any bugs that appear on its face?,extremely long tongue ,289
,Giraffe,What areas can giraffes inhabit?,"inhabit savannas, grasslands, or open woodlands",290
,Giraffe,What will a giraffe use to clean off any bugs that appear on its face?,It's extremely long tongue,291
,Giraffe,What areas can giraffes inhabit?,"savannas, grasslands, or open woodlands",292
,Giraffe,How do giraffes defend themselves?,with a powerful kick,293
,Giraffe,How do giraffes defend themselves?,With powerful kicks,294
,Giraffe,Do both sexes of giraffe have horns?,Yes,295
,Giraffe,Do giraffes give birth standing up?,Yes,296
,Giraffe,Are giraffes hunted for their hides?,Yes,297
,Giraffe,Do male giraffes weigh more than female giraffes?,Yes,298
,Giraffe,Do male giraffes have larger horns than female giraffes?,Yes,299
,Giraffe,Are male females generally taller than female giraffes?,Yes,300
